 Race , Age  , Trial     , LettersSent ,YYES,YNO,Y3,Y4,Y5,Test
 B    ,66,2,0,NO,NO,YES,YES,YES,YES
 B    ,42,2,0,NO,NO,YES,NO,YES,YES
 W    ,45,2,0,NO,NO,YES,YES,YES,YES
 W    ,71,2,0,NO,NO,YES,NO,YES,YES
 W    ,23,2,0,NO,NO,NO,YES,YES,NO
 W    ,28,2,0,NO,NO,NO,NO,YES,NO
 W    ,21,2,0,NO,NO,NO,NO,YES,NO
 W    ,38,2,0,YES,NO,YES,YES,YES,YES
 W    ,53,2,0,NO,NO,NO,NO,YES,NO
 O    ,53,2,0,NO,NO,NO,NO,YES,NO
 B    ,32,2,0,YES,YES,YES,NO,YES,YES
 B    ,57,2,0,NO,NO,NO,NO,YES,YES
 W    ,28,2,0,NO,NO,NO,YES,YES,YES
 O    ,36,2,0,NO,NO,NO,NO,NO,NO
 W    ,24,2,0,NO,NO,NO,NO,YES,YES
 A    ,27,2,0,NO,NO,YES,YES,YES,YES
 W    ,60,2,0,NO,NO,NO,NO,YES,NO
 W    ,63,2,0,NO,NO,NO,NO,YES,YES
 B    ,32,2,0,YES,NO,NO,YES,YES,NO
 W    ,34,2,0,NO,NO,NO,NO,YES,YES
 W    ,26,2,0,NO,NO,NO,NO,NO,NO
 W    ,34,2,0,YES,NO,NO,YES,YES,YES
 O    ,45,2,0,NO,NO,NO,NO,NO,NO
 W    ,35,2,0,YES,YES,YES,NO,YES,NO
 W    ,42,2,0,NO,NO,YES,YES,YES,YES
 W    ,74,2,0,YES,YES,YES,YES,NO,NO
 W    ,65,2,0,YES,NO,YES,NO,YES,YES
 W    ,61,2,0,YES,NO,YES,NO,YES,YES
 B    ,58,2,0,YES,YES,YES,YES,YES,YES
 B    ,46,2,0,YES,YES,YES,YES,YES,YES
 B    ,44,2,0,YES,YES,YES,YES,YES,YES
 W    ,48,2,0,YES,NO,YES,YES,YES,YES
 B    ,52,2,0,YES,NO,YES,YES,YES,YES
 B    ,62,2,0,YES,YES,YES,YES,YES,YES
 W    ,60,2,0,YES,NO,YES,NO,YES,YES
 W    ,39,2,0,YES,NO,YES,NO,YES,YES
 W    ,48,2,0,YES,NO,YES,YES,YES,YES
 B    ,43,2,0,YES,YES,YES,YES,YES,YES
 W    ,33,2,0,YES,NO,YES,NO,YES,YES
 W    ,39,2,0,YES,YES,YES,YES,YES,NO
 W    ,33,2,0,YES,NO,YES,YES,YES,YES
 A    ,35,2,0,NO,NO,YES,NO,YES,YES
 W    ,28,2,0,YES,NO,YES,YES,YES,YES
 A    ,86,2,0,YES,NO,YES,YES,YES,YES
 W    ,39,2,0,YES,NO,YES,YES,YES,YES
 B    ,51,2,0,YES,YES,YES,NO,YES,NO
 B    ,51,2,0,YES,YES,YES,NO,YES,YES
 W    ,57,2,0,YES,NO,YES,NO,YES,YES
 B    ,45,2,0,YES,NO,YES,YES,YES,YES
 W    ,47,2,0,NO,YES,YES,NO,YES,YES
 W    ,26,2,0,NO,NO,YES,YES,YES,YES
 W    ,48,2,0,NO,NO,YES,NO,YES,YES
 W    ,44,2,0,YES,NO,YES,NO,YES,YES
 W    ,47,2,0,NO,NO,YES,NO,YES,NO
 B    ,45,2,0,NO,NO,YES,YES,YES,YES
 O    ,24,2,0,NO,NO,YES,YES,YES,YES
 W    ,28,2,0,YES,NO,YES,NO,YES,YES
 O    ,23,2,0,NO,NO,NO,YES,YES,YES
 W    ,34,2,0,NO,NO,NO,NO,YES,YES
 B    ,59,2,0,YES,YES,YES,YES,YES,YES
 W    ,39,2,0,YES,NO,YES,YES,YES,YES
 W    ,23,2,0,NO,NO,NO,NO,NO,YES
 W    ,21,2,0,NO,NO,NO,NO,YES,YES
 B    ,28,2,0,NO,NO,NO,NO,NO,NO
 B    ,43,2,0,YES,NO,NO,NO,YES,YES
 B    ,34,2,0,NO,NO,NO,NO,NO,YES
 B    ,19,2,0,NO,NO,NO,NO,NO,YES
 B    ,53,2,0,NO,NO,NO,NO,NO,YES
 B    ,48,2,0,YES,YES,YES,YES,YES,NO
 W    ,54,2,0,YES,NO,YES,YES,YES,YES
 W    ,44,2,0,YES,NO,YES,YES,YES,YES
 W    ,48,2,0,YES,NO,YES,NO,YES,YES
 W    ,52,2,0,NO,NO,YES,YES,YES,NO
 U    ,64,2,0,YES,NO,YES,NO,YES,YES
 B    ,44,2,0,YES,YES,YES,YES,YES,YES
 O    ,67,2,0,YES,NO,NO,YES,YES,YES
 W    ,45,2,0,YES,NO,YES,YES,YES,YES
 W    ,47,2,0,YES,NO,YES,NO,YES,YES
 O    ,67,2,0,YES,YES,YES,NO,YES,YES
 W    ,42,2,0,YES,NO,YES,YES,YES,YES
 A    ,61,2,0,YES,YES,YES,NO,YES,YES
 W    ,41,2,0,NO,NO,YES,YES,YES,YES
 B    ,44,2,0,YES,NO,YES,YES,YES,YES
 W    ,32,2,0,NO,NO,YES,NO,YES,YES
 W    ,50,2,0,YES,YES,NO,YES,YES,YES
 W    ,41,2,0,YES,YES,YES,YES,YES,YES
 B    ,72,2,0,YES,NO,YES,NO,YES,YES
 W    ,46,2,0,YES,NO,YES,YES,YES,YES
 W    ,29,2,0,YES,NO,YES,NO,YES,YES
 W    ,37,2,0,YES,NO,YES,NO,YES,YES
 W    ,50,2,0,YES,NO,YES,NO,YES,YES
 B    ,57,2,0,NO,YES,YES,YES,YES,NO
 B    ,35,2,0,YES,YES,YES,YES,YES,YES
 B    ,50,2,0,YES,YES,YES,YES,YES,YES
 W    ,36,2,0,YES,NO,YES,NO,YES,YES
 W    ,25,2,0,NO,NO,YES,NO,YES,YES
 W    ,41,2,0,YES,NO,YES,YES,YES,YES
 W    ,24,2,0,NO,NO,YES,YES,YES,YES
 W    ,45,2,0,NO,NO,YES,YES,YES,YES
 B    ,77,2,0,NO,NO,YES,NO,YES,YES
 W    ,57,2,0,NO,NO,YES,YES,YES,YES
 W    ,34,2,0,NO,NO,NO,YES,YES,YES
 W    ,40,2,0,YES,YES,NO,NO,YES,YES
 W    ,58,2,0,NO,YES,NO,NO,YES,YES
 W    ,20,2,0,NO,NO,NO,NO,YES,YES
 W    ,50,2,0,NO,NO,NO,NO,YES,YES
 W    ,38,2,0,NO,NO,NO,NO,NO,YES
 W    ,38,2,0,NO,NO,NO,NO,NO,YES
 A    ,42,2,0,NO,NO,NO,NO,NO,YES
 W    ,19,2,0,NO,NO,NO,NO,NO,NO
 U    ,74,2,0,YES,NO,YES,NO,YES,NO
 W    ,70,2,0,YES,NO,YES,YES,YES,YES
 U    ,55,2,0,YES,NO,YES,NO,YES,NO
 W    ,67,2,0,YES,NO,YES,YES,YES,YES
 W    ,62,2,0,YES,NO,YES,YES,YES,YES
 W    ,60,2,0,YES,NO,YES,YES,YES,YES
