id, Race , Party ,Sex, Age  ,house district, Trial     , LettersSent ,Y1,Y2,Y3,Y4,Y5,Test
113,1,3,1,23,1,1,0,2,2,2,1,1,2
114,1,1,1,28,1,1,0,2,2,2,2,1,2
115,1,3,1,21,1,1,0,2,2,2,2,1,2
116,1,1,1,38,1,1,0,1,2,1,1,1,1
117,1,3,1,53,1,1,0,2,2,2,2,1,2
118,5,1,1,53,1,1,0,2,2,2,2,1,2
119,2,1,1,32,1,1,0,1,1,1,2,1,1
120,2,1,1,57,1,1,0,2,2,2,2,1,1
121,1,1,1,28,1,1,0,2,2,2,1,1,1
122,5,1,1,36,1,1,0,2,2,2,2,2,2
123,1,3,1,24,1,1,0,2,2,2,2,1,1
124,3,3,2,27,1,1,0,2,2,1,1,1,1
125,1,1,1,60,1,1,0,2,2,2,2,1,2
126,1,1,1,63,1,1,0,2,2,2,2,1,1
127,2,1,1,32,1,1,0,1,2,2,1,1,2
128,1,1,1,34,1,1,0,2,2,2,2,1,1
129,1,1,1,26,1,1,0,2,2,2,2,2,2
130,1,3,1,34,1,1,0,1,2,2,1, ABSENTEE 1 ,1
131,5,3,1,45,1,1,0,2,2,2,2,2,2
132,1,3,1,35,1,1,0,1,1,1,2,1,2
133,1,1,1,42,1,1,0,2,2,1,1,1,1
134,1,1,1,74,1,1,0,1,1,1,1,2,2
135,1,1,1,65,1,1,0,1,2,1,2,1,1
136,1,3,1,61,1,1,0,1,2,1,2,1,1
137,2,3,1,58,1,1,0,1,1,1,1,1,1
138,2,1,1,46,1,1,0,1,1,1,1,1,1
139,2,1,1,44,1,1,0,1,1,1,1,1,1
140,1,1,1,48,1,1,0,1,2,1,1,1,1
141,2,1,1,52,1,1,0,1,2,1,1,1,1
142,2,1,1,62,1,1,0,1,1,1,1,1,1
143,1,1,1,60,1,1,0,1,2,1,2,1,1
144,1,3,1,39,1,1,0,1,2,1,2,1,1
145,1,3,1,48,1,1,0,1,2,1,1,1,1
146,2,1,1,43,1,1,0,1,1,1,1,1,1
147,1,3,1,33,1,1,0,1,2,1,2,1,1
148,1,3,1,39,1,1,0,1,1,1,1,1,2
149,1,1,1,33,1,1,0,1,2,1,1,1,1
150,3,1,1,35,1,1,0,2,2,1,2,1,1
151,1,3,1,28,1,1,0,1,2,1,1,1,1
152,3,1,1,86,1,1,0,1,2,1,1,1,1
153,1,1,1,39,1,1,0,1,2,1,1,1,1
154,2,1,1,51,1,1,0,1,1,1,2,1,2
155,2,1,1,51,1,1,0,1,1,1,2,1,1
156,1,1,1,57,1,1,0,1,2,1,2,1,1
157,2,1,1,45,1,1,0,1,2,1,1,1,1
158,1,3,1,47,1,1,0,2,1,1,2,1,1
159,1,1,1,26,1,1,0,2,2,1,1,1,1
160,1,3,1,48,1,1,0,2,2,1,2,1,1
161,1,3,1,44,1,1,0,1,2,1,2,1,1
162,1,3,1,47,1,1,0,2,2,1,2,1,2
163,2,1,1,45,1,1,0,2,2,1,1,1,1
164,5,1,1,24,1,1,0,2,2,1,1,1,1
165,1,1,1,28,1,1,0,1,2,1,2,1,1
166,5,1,1,23,1,1,0,2,2,2,1,1,1
167,1,1,1,34,1,1,0,2,2,2,2,1,1
168,2,1,1,59,1,1,0,1,1,1,1,1,1
169,1,3,1,39,1,1,0,1,2,1,1,1,1
170,1,1,1,23,1,1,0,2,2,2,2,2,1
171,1,1,1,21,1,1,0,2,2,2,2,1,1
172,2,1,1,28,1,1,0,2,2,2,2,2,2
173,2,1,2,43,1,1,0,1,2,2,2,1,1
174,2,1,1,34,1,1,0,2,2,2,2,2,1
175,2,3,1,19,1,1,0,2,2,2,2,2,1
176,2,1,1,53,1,1,0,2,2,2,2,2,1
177,2,1,1,48,1,1,0,1,1,1,1,1,2
178,1,1,1,54,1,1,0,1,2,1,1,1,1
179,1,1,1,44,1,1,0,1,2,1,1,1,1
180,1,1,1,48,1,1,0,1,2,1,2,1,1
181,1,3,1,52,1,1,0,2,2,1,1,1,2
182,4,1,1,64,1,1,0,1,2,1,2,1,1
183,2,1,1,44,1,1,0,1,1,1,1,1,1
184,5,3,1,67,1,1,0,1,2,2,1,1,1
185,1,1,1,45,1,1,0,1,2,1,1,1,1
186,1,3,1,47,1,1,0,1,2,1,2,1,1
187,5,1,1,67,1,1,0,1,1,1,2,1,1
188,1,1,1,42,1,1,0,1,2,1,1,1,1
189,3,3,1,61,1,1,0,1,1,1,2,1,1
190,1,3,1,41,1,1,0,2,2,1,1,1,1
191,2,1,1,44,1,1,0,1,2,1,1,1,1
192,1,1,1,32,1,1,0,2,2,1,2,1,1
193,1,3,1,50,1,1,0,1,1,2,1,1,1
194,1,1,1,41,1,1,0,1,1,1,1,1,1
195,2,3,1,72,1,1,0,1,2,1,2,1,1
196,1,3,1,46,1,1,0,1,2,1,1,1,1
197,1,3,1,29,1,1,0,1,2,1,2,1,1
198,1,3,1,37,1,1,0,1,2,1,2,1,1
199,1,1,1,50,1,1,0,1,2,1,2,1,1
200,2,1,1,57,1,1,0,2,1,1,1,1,2
201,2,3,1,35,1,1,0,1,1,1,1,1,1
202,2,1,1,50,1,1,0,1,1,1,1,1,1
203,1,1,1,36,1,1,0,1,2,1,2,1,1
204,1,3,1,25,1,1,0,2,2,1,2,1,1
205,1,1,1,41,1,1,0,1,2,1,1,1,1
206,1,3,1,24,1,1,0,2,2,1,1,1,1
207,1,1,1,45,1,1,0,2,2,1,1,1,1
208,2,1,1,77,1,1,0,2,2,1,2,1,1
209,1,1,1,57,1,1,0,2,2,1,1,1,1
210,1,1,1,34,1,1,0,2,2,2,1,1,1
211,1,3,1,40,1,1,0,1,1,2,2,1,1
212,1,3,1,58,1,1,0,2,1,2,2,1,1
213,1,3,1,20,1,1,0,2,2,2,2,1,1
214,1,3,1,50,1,1,0,2,2,2,2,1,1
215,1,1,1,38,1,1,0,2,2,2,2,2,1
216,1,1,1,38,1,1,0,2,2,2,2,2,1
217,3,1,1,42,1,1,0,2,2,2,2,2,1
218,1,1,1,19,1,1,0,2,2,2,2,2,2
219,4,1,1,74,1,1,0,1,2,1,2,1,2
220,1,1,1,70,1,1,0,1,2,1,1,1,1
221,4,1,1,55,1,1,0,1,2,1,2,1,2
222,1,1,1,67,1,1,0,1,2,1,1,1,1
223,1,1,1,62,1,1,0,1,2,1,1,1,1
224,1,1,1,60,1,1,0,1,2,1,1,1,1
225,2,1,1,53,1,1,0,1,1,1,2,1,1
226,2,1,1,70,1,1,0,1,2,1,2,1,2
227,1,1,1,92,1,1,0,1,1,1,1,1,1
228,2,1,1,45,1,1,0,1,2,1,2,1,1
229,1,1,1,64,1,1,0,1,2,1,2,1,1
230,1,1,1,36,1,1,0,1,1,1,2,1,1
231,1,1,1,52,1,1,0,1,2,1,2,1,1
232,1,3,1,39,1,1,0,1,2,1,2,1,1
233,1,1,1,60,1,1,0,1,1,1,2,1,1
234,1,3,1,32,1,1,0,1,2,1,1,1,1
235,1,1,1,69,1,1,0,1,2,1,2,1,1
236,1,3,1,54,1,1,0,1,2,1,1,1,1
237,3,1,1,40,1,1,0,1,2,1,1,1,1
238,1,1,1,38,1,1,0,1,2,1,2,1,1
239,1,3,1,51,1,1,0,1,1,1,1,1,1
240,2,1,1,34,1,1,0,1,1,1,2,1,1
241,1,3,1,26,1,1,0,2,1,1,1,1,1
242,1,1,1,64,1,1,0,2,2,1,1,1,1
243,4,1,2,75,1,1,0,2,2,2,2,2,2
244,1,3,1,38,1,1,0,2,2,2,1,1,1
245,1,1,1,43,1,1,0,2,2,2,1,1,1
246,1,3,1,39,1,1,0,2,2,2,1,1,1
247,2,1,1,21,1,1,0,2,2,2,2,1,1
248,2,1,1,26,1,1,0,2,2,1,1,1,1
249,1,3,1,61,1,1,0,1,2,2,2,1,1
250,4,3,2,40,1,1,0,2,2,1,1,1,2
251,1,3,1,27,1,1,0,2,2,1,1,1,1
252,2,1,1,19,1,1,0,2,2,2,2,2,1
253,5,3,1,19,1,1,0,2,2,2,2,2,2
254,1,3,1,58,1,1,0,1,2,1,1,1,1
255,1,1,1,47,1,1,0,1,2,1,1,1,1
256,1,1,1,42,1,1,0,1,1,1,2,1,1
257,1,1,1,58,1,1,0,1,2,1,2,1,1
258,1,1,2,54,1,1,0,1,2,1,1,1,1
259,4,3,1,70,1,1,0,1,2,1,2,1,1
260,1,3,1,37,1,1,0,1,2,1,1,1,1
261,5,3,1,62,1,1,0,1,2,2,2,1,1
262,1,1,1,51,1,1,0,1,2,1,1,1,1
263,2,1,1,61,1,1,0,1,1,1,2,1,1
264,1,1,1,37,1,1,0,1,1,1,1,1,1
265,1,3,1,36,1,1,0,1,1,1,1,1,1
266,1,1,1,33,1,1,0,1,2,1,1,1,2
267,1,3,1,34,1,1,0,1,2,1,2,1,2
268,1,1,1,35,1,1,0,1,2,1,1,1,1
269,1,1,1,32,1,1,0,1,1,1,1,1,1
270,1,1,1,28,1,1,0,2,2,1,1,1,1
271,3,3,1,38,1,1,0,1,1,1,2,1,1
272,1,1,1,44,1,1,0,1,2,1,1,1,1
273,1,3,1,42,1,1,0,2,2,1,2,1,1
274,1,1,1,62,1,1,0,2,2,1,1,1,2
275,1,1,1,30,1,1,0,1,2,1,2,1,1
276,1,1,1,69,1,1,0,2,2,1,1,1,1
277,1,3,1,32,1,1,0,1,2,2,2,1,1
278,6,1,1,26,1,1,0,2,2,1,1,1,1
279,1,3,1,63,1,1,0,2,2,1,2,1,2
